Lexeme                CurrentNode                     LineNo  TokenName               ValueIfNum    ParentNodeSymbol                IsLeaf  NodeSymbol
----------------------------------------------------------------------------------------------------------------------------
_computeFunctionValue  ----                            6       TK_FUNID                ---           function                        yes     ----
----                  function                        6       ----                    ---           otherFunctions                  no      function
input                 ----                            6       TK_INPUT                ---           input_par                       yes     ----
----                  input_par                       6       ----                    ---           function                        no      input_par
parameter             ----                            6       TK_PARAMETER            ---           input_par                       yes     ----
list                  ----                            6       TK_LIST                 ---           input_par                       yes     ----
[                     ----                            6       TK_SQL                  ---           input_par                       yes     ----
int                   ----                            6       TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               6       ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           parameter_list                  no      dataType
----                  parameter_list                  0       ----                    ---           input_par                       no      parameter_list
c3                    ----                            6       TK_ID                   ---           parameter_list                  yes     ----
,                     ----                            6       TK_COMMA                ---           remaining_list                  yes     ----
----                  remaining_list                  6       ----                    ---           parameter_list                  no      remaining_list
int                   ----                            6       TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               6       ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           parameter_list                  no      dataType
----                  parameter_list                  0       ----                    ---           remaining_list                  no      parameter_list
c4                    ----                            6       TK_ID                   ---           parameter_list                  yes     ----
,                     ----                            6       TK_COMMA                ---           remaining_list                  yes     ----
----                  remaining_list                  6       ----                    ---           parameter_list                  no      remaining_list
int                   ----                            6       TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               6       ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           parameter_list                  no      dataType
----                  parameter_list                  0       ----                    ---           remaining_list                  no      parameter_list
c5                    ----                            6       TK_ID                   ---           parameter_list                  yes     ----
eps                   ----                            6       TK_EOF                  ---           remaining_list                  yes     ----
----                  remaining_list                  6       ----                    ---           parameter_list                  no      remaining_list
]                     ----                            6       TK_SQR                  ---           input_par                       yes     ----
output                ----                            7       TK_OUTPUT               ---           output_par                      yes     ----
----                  output_par                      7       ----                    ---           function                        no      output_par
parameter             ----                            7       TK_PARAMETER            ---           output_par                      yes     ----
list                  ----                            7       TK_LIST                 ---           output_par                      yes     ----
[                     ----                            7       TK_SQL                  ---           output_par                      yes     ----
real                  ----                            7       TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               7       ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           parameter_list                  no      dataType
----                  parameter_list                  0       ----                    ---           output_par                      no      parameter_list
c6                    ----                            7       TK_ID                   ---           parameter_list                  yes     ----
eps                   ----                            7       TK_EOF                  ---           remaining_list                  yes     ----
----                  remaining_list                  7       ----                    ---           parameter_list                  no      remaining_list
]                     ----                            7       TK_SQR                  ---           output_par                      yes     ----
;                     ----                            7       TK_SEM                  ---           function                        yes     ----
eps                   ----                            8       TK_EOF                  ---           typeDefinitions                 yes     ----
----                  typeDefinitions                 8       ----                    ---           stmts                           no      typeDefinitions
----                  stmts                           0       ----                    ---           function                        no      stmts
type                  ----                            8       TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     8       ----                    ---           declarations                    no      declaration
real                  ----                            8       TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               8       ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            8       TK_COLON                ---           declaration                     yes     ----
d4cbcd5677            ----                            8       TK_ID                   ---           declaration                     yes     ----
eps                   ----                            8       TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   8       ----                    ---           declaration                     no      global_or_not
;                     ----                            8       TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           stmts                           no      declarations
type                  ----                            9       TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     9       ----                    ---           declarations                    no      declaration
real                  ----                            9       TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               9       ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            9       TK_COLON                ---           declaration                     yes     ----
c4bbb                 ----                            9       TK_ID                   ---           declaration                     yes     ----
eps                   ----                            9       TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   9       ----                    ---           declaration                     no      global_or_not
;                     ----                            9       TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           declarations                    no      declarations
eps                   ----                            10      TK_EOF                  ---           declarations                    yes     ----
----                  declarations                    10      ----                    ---           declarations                    no      declarations
c6                    ----                            10      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   10      ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            10      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       10      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            10      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
5000.79               ----                            10      TK_RNUM                 5000.79       var                             yes     ----
----                  var                             10      ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            10      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       10      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           assignmentStmt                  no      arithmeticExpression
eps                   ----                            10      TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        10      ----                    ---           arithmeticExpression            no      expPrime
;                     ----                            10      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           stmts                           no      otherStmts
d4cbcd5677            ----                            11      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   11      ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            11      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       11      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            11      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
(                     ----                            11      TK_OP                   ---           factor                          yes     ----
----                  factor                          11      ----                    ---           term                            no      factor
(                     ----                            11      TK_OP                   ---           factor                          yes     ----
----                  factor                          11      ----                    ---           term                            no      factor
c3                    ----                            11      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   11      ----                    ---           var                             no      singleOrRecId
eps                   ----                            11      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       11      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            11      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       11      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           factor                          no      arithmeticExpression
+                     ----                            11      TK_PLUS                 ---           lowPrecedenceOperators          yes     ----
----                  lowPrecedenceOperators          11      ----                    ---           expPrime                        no      lowPrecedenceOperators
----                  expPrime                        0       ----                    ---           arithmeticExpression            no      expPrime
2                     ----                            11      TK_NUM                  2             var                             yes     ----
----                  var                             11      ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           expPrime                        no      term
*                     ----                            11      TK_MUL                  ---           highPrecedenceOperators         yes     ----
----                  highPrecedenceOperators         11      ----                    ---           termPrime                       no      highPrecedenceOperators
----                  termPrime                       0       ----                    ---           term                            no      termPrime
c4                    ----                            11      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   11      ----                    ---           var                             no      singleOrRecId
eps                   ----                            11      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       11      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           termPrime                       no      factor
eps                   ----                            11      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       11      ----                    ---           termPrime                       no      termPrime
eps                   ----                            11      TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        11      ----                    ---           expPrime                        no      expPrime
)                     ----                            11      TK_CL                   ---           factor                          yes     ----
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            11      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       11      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           factor                          no      arithmeticExpression
-                     ----                            11      TK_MINUS                ---           lowPrecedenceOperators          yes     ----
----                  lowPrecedenceOperators          11      ----                    ---           expPrime                        no      lowPrecedenceOperators
----                  expPrime                        0       ----                    ---           arithmeticExpression            no      expPrime
(                     ----                            11      TK_OP                   ---           factor                          yes     ----
----                  factor                          11      ----                    ---           term                            no      factor
c5                    ----                            11      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   11      ----                    ---           var                             no      singleOrRecId
eps                   ----                            11      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       11      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            11      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       11      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           factor                          no      arithmeticExpression
-                     ----                            11      TK_MINUS                ---           lowPrecedenceOperators          yes     ----
